Gene Name,RIPA,SMA200P,SMA200CB,SMA300CB,ChloroSMA20,ChloroSMA40,ChloroSMA60,ChloroSMA80,NP40,AASTY645,AASTY650,AASTY1150,AASTY1145,AASTY80
HSPA6,0.4109065657946551,0.42066833488051164,0.3241956710510573,0.2699772466322543,0.36238194827440845,0.41605200106321055,0.5350289222318453,0.38835675969656563,0.3646570219740358,0.3697640073259916,1,0.40233611073404907,0.37767636416866796,0.4793829385440171
ZFYVE1,0.658862445943057,1,0.17509546821517388,0.41190358124233534,0.0006102437862863265,0.9892120796062426,0.502954927442348,0,5.196833489206574e-05,0.048079043025113836,0.002389963658144056,0,0.5311673528139909,0.005299765349982799
HSPD1,1,0.37316697792942144,0.408370531228016,0.4062657695160427,0.3101916229485025,0.2464056461851847,0.1246555870153781,0.9959786733257406,0.5750473254488458,0.6916105715054595,0.2713556117519333,0.6515446819643255,0.44832939651644305,0.8561530630943726
SLC25A5,0.8613604660631549,0.6689331205985344,0.918041799823658,0.9190490579847355,0.6754926538723044,0.7382926418509723,0.5986026614284514,0.3759537545481947,0.8699949993372678,0.6867382997866297,0.6805422001113262,0.8552342462678937,0.6255909733136983,1
HSPA5,1,0.7645312846622274,0.514624496232026,0.46571337090715725,0.8659606535732324,0.7597132497834732,0.72705998377095,0.862036203784808,0.6336571597762134,0.6858491215065439,0.5005770527299723,0.7014854631585142,0.7721252479430869,0.6191785945669702
ATP5A1,1,0.5530946253884725,0.5234356876949258,0.525667434096693,0.552851086729951,0.5065198825737158,0.5528366276852454,0.7422242161768269,0.5590382751369363,0.5665610755286077,0.650229305074874,0.6581773339347963,0.5380076962883048,0.7087744102596119
HSPA9,1,0.3379105122106479,0.4238470277526581,0.4761725612205875,0.36493273782025754,0.3564005063742772,0.3123074134007724,0.7058124319743723,0.4211912107321198,0.5315185489525571,0.44996618276149364,0.5122706305214044,0.35724735126833485,0.6294863677801014
ATP5B,1,0.5931494168620238,0.40149416004848715,0.3621823179236591,0.5310738400289381,0.49510886645815605,0.3743387248204833,0.7568658331417207,0.5728504981719329,0.6702979692141049,0.42888837413163455,0.5995002487593695,0.5297413090030454,0.6376057616132838
ENO1,0.5828720988828227,0.4387257457731472,0.6176113164590419,0.7517553846520565,0.41342596250645836,0.39589540074020635,0.1922714224450521,0.8088574417400936,0.41810984684721225,1,0.3558972415722765,0.6427201434507339,0.5429820294185791,0.6839735789971209
EEF1A1,0.3169075923580504,0.4942060923083259,0.5528837604515601,0.9994572568424186,0.4753215307836336,0.4566897318885076,0.36435375276690996,0.7238445764345797,0.6107361745057488,1,0.560970904982294,0.5905906919870112,0.7024424135598004,0.6998497016622064
HSP90AB1,0.4214166240097201,0.580607936228208,0.4897250379206327,0.40414554174181494,0.532308684200424,0.6197679468084899,0.4272955255171724,0.5761612868555566,0.41520378176372835,1,0.6723292329926072,0.683845607394912,0.7178011710197552,0.5150040442866703
PDIA3,0.8604986464728068,0.7858595734061538,0.6114623726069663,0.673838244173622,0.8358533595128786,0.8074156242233134,0.7881955155118109,1,0.7775882958314088,0.7440606980887826,0.6783816272878467,0.711377345063198,0.781741985379174,0.6449916867807087
LDHB,0.5418936407233619,0.4063601545087889,0.6186539435559146,0.7199881732083162,0.5011365709110508,0.3647841198958991,0.1414634986596582,0.6266947120860623,0.5095960904044055,1,0.2853585527293464,0.6396541991158489,0.46432400265821205,0.7360817790804439
VDAC1,1,0.33813583354966714,0.23802506454196368,0.18779248103411011,0.2913100811068623,0.0833930527225644,0.07192861182486572,0.31078425112284647,0.6664062602343409,0.04265944398712236,0.08217327460540906,0.03277276313152668,0.09237111024813888,0.22475752123342102
MDH2,1,0.06310904726121529,0.12889954663021508,0.2931329897082189,0.009160032707408682,0.0018180088208467,0.005642313429850613,0.3606062770576762,0.5611568642517978,0.1056500705184619,0.01132582946335783,0.01952549016295164,0.02018550997218698,0.02755810135412458
RPS26,0.6089047907331215,0.8754272544035285,0.6415776516880467,0.2387616079319595,0.493763582166861,0.42810798804168626,0.23477538720170418,0.07191100196490703,0.7731440557735297,0.8919579242166918,0.4043005278564485,0.6836392198998266,0.9698947448530381,1
GAPDH,0.3779817075903776,0.1306256641790525,0.5274142359847365,0.9313124724739914,0.2986061963533808,0.3672676078061388,0.3215335253338776,1,0.5282974111560114,0.7364813156755884,0.4305714160900911,0.42680587797236347,0.2282625667600117,0.3865467073239899
HSPA8,0.7414658817374774,0.581873932392923,0.5502900280270522,0.44400428099081796,0.6953924032967739,0.665907044600359,0.4645804828272281,0.6814524196968793,0.6316301786377709,1,0.663233122415159,0.8508664606706193,0.6868379126031927,0.7826868548034024
PHB ,0.9642507728132064,0.6950143826236712,0.6026406366830941,0.5049259182889756,0.6488174914203262,0.4356366183623423,0.5993615277434453,1,0.8690425499148497,0.3172777132797947,0.5975486089122201,0.44628940533702816,0.539352315822675,0.5842145173189526
HSP90B1,0.9190129059216181,0.8960500073563632,0.6473424773364165,0.5311364448570756,1,0.946199066027643,0.658045207462353,0.5871621059280363,0.8264602874435305,0.9083871862159062,0.6580428591336804,0.9889212216099331,0.8470494557825109,0.8416876611431617
GNB1,0.8826595970877161,0.9211661241930001,0.5889894175191592,0.4434193176419583,0.9623696503904706,1,0.5179222097673037,0.5526359067335695,0.7774512814016683,0.7043151440599499,0.5597718135513852,0.8508325551500664,0.7785516484963321,0.5681822607061481
BBS9,0.2737320259666765,0.1826090159784828,0.261397882645757,1,0.1529329643641798,0.2117138301056799,0.08434161068843365,0.7241251949448855,0.1466882237683876,0.6644557774595135,0.19478421995378992,0.2408450079538425,0.212841530714934,0.08713598572789433
RPS8,0.3771200466175075,0.8665957025539268,0.7339851871869398,0.85549230640143,0.7845856638330685,0.7447007216895141,1,0.5547034212482906,0.6609825208378526,0.4128563690029431,0.4872794324132027,0.7296101828705023,0.7554501029383602,0.6468989222508363
P4HA2,0.2852373898589266,0.2645170232160338,0.3403904154075184,0.14861809148832011,0.388438308565701,0.3982493105206201,0.4857185135110312,0.22763758268657242,0.2323611466212391,0.2300266027611114,1,0.29005643826230293,0.2940422790795191,0.2261587110340566
MAOA,1,0.1965196402550994,0.2548107711277797,0.2470885088246278,0.46704066462843813,0.1814873719257882,0.3935867464672167,0.15560118233521592,0.1828521863820752,0.17440804523347542,0.1211501050141019,0.2252417003109435,0.11407285992014779,0.3399483915682015
GOT2,0.9241449252702552,0.20046000920044751,0.9656662301588572,1,0.02985169257825842,0.061246984945941954,0.1107982510638158,0.4083318717211797,0.8063848992499092,0.46336359342867633,0.07464841562303377,0.1708460808136385,0.2608935027283535,0.02180339376667149
SLC39A10,0.2503764495795683,0.22654679847520443,0.3818783821929127,0.259726628836479,0.2307257666260806,0.322301537423768,1,0.2335562624843256,0.29172829040981674,0.29004382293829,0.5954711907491972,0.24616387691166888,0.386143056128697,0.21627382208543358
SRP72,0.34040682446297515,0.45122377131885494,0.5467353393745072,0.5523621727190648,0.39323682693594736,0.3894306102179909,0.6222870582539787,0.3050167462962165,0.44845331818772816,0.681033275325701,0.4047864452708659,0.7066244751294516,0.5070295533913184,1
RPL12,0.6019771729114232,0.7965287346844263,0.5317183588716662,0.48715123412946887,0.828956901000558,0.721570337378934,0.6655918299459969,0.6044781795238258,0.5616969715668956,0.5527402780897563,0.5322452223124245,0.8487292086996499,1,0.4696515762737875
VDAC2,1,0.4478215558324063,0.4081540126202848,0.3777257016526764,0.40198452618158,0.1556113020286168,0.3634807404331554,0.3724972341948814,0.7354724827741657,0.06483974443606787,0.3081468660617638,0.08637296320889516,0.1946910513440494,0.8186357299162313
PHB2,0.706469490552028,0.7043344868162742,0.6415130349610776,0.5404800209959111,0.5001382500708444,0.5612764121057842,0.6307770566545452,0.8530210939017187,1,0.2869880301470385,0.5210449214049091,0.4507576006004961,0.5551496197768869,0.9043353635414674
CALR,1,0.1002391257368182,0.4496659939213635,0.3380134524389722,0.5144147908756836,0.7362074372814194,0.2318998781335772,0.3679351511973511,0.9760091137214644,0.8034790413975957,0.3998088654793554,0.3227042031985869,0.1438943596605879,0.5156892766845966
P4HB,1,0.6837839055721929,0.4315440182029613,0.3468920356854344,0.7101884017072067,0.7659836951960844,0.5882145911361004,0.4894458633116844,0.9087114668891316,0.7413886898164668,0.5292563058511844,0.5460782685202767,0.6082315442880375,0.470511470869749
TUFM,0.9839813737354035,0.45289835436292664,0.5710093910357678,0.6141728819507557,0.46402782511943724,0.3649326722494113,0.3137358161533174,0.7649281897689836,0.585043156682922,0.6499945557972108,0.5938690973972444,0.7313281558517634,0.45991221174898295,1
RPL27,0.5528485346540032,0.8190456647360584,0.6411488615493449,0.2637472027318806,0.45996728245038754,0.6006464371846699,1,0.1640003955973608,0.9361272548231906,0.3642805653472849,0.5528393805533449,0.4266730010772657,0.6795764860401118,0.6222660216837924
ATP1A1,0.7750169595187486,0.7726163207814888,0.8962093836494538,0.8847312154137886,0.8989723277531659,0.9169330480827615,1,0.6515369687179495,0.7224808814845518,0.5725936147666775,0.681429944779716,0.6540965762459727,0.6721162523055458,0.5917061956882841
RANGAP1,0.5016272262912738,0.5861191524084018,0.5995130519274788,0.5097673308421891,0.649073605880763,0.6714800284468629,0.8099618118751153,0.5546743595124632,0.4310038351686289,0.7675603029973094,1,0.6179565404983512,0.5539598757564914,0.55899293574058
RAB1A,0.7439438071731544,0.6911379750173022,0.7527251653582878,1,0.7011282291958135,0.76202365280534,0.597342190507616,0.4669664305371115,0.6434939136135411,0.7019907803464579,0.4808534250270737,0.6318047106936541,0.6330209635366587,0.6773366811414337
LRRC59,1,0.8757007057410234,0.831075643006508,0.8223478254493315,0.8860637850509048,0.7826550244803728,0.4821565922267815,0.6202379335677801,0.7191835103548903,0.8522556104068264,0.4999503580092398,0.797104066149391,0.7890029516322896,0.9918721577973819
RPL6,0.3792184473724224,0.7992987809104377,0.6285286218253912,0.9765170089543289,0.8252285743952961,0.746953808602344,0.8522217526518315,0.4287077200145199,0.8619063457544074,0.5349554797550167,0.9725919426247426,0.7731630200314525,1,0.7882897944517091
RPLP2,0.8327080222905316,0.001062747962357445,0.01055723982946581,0.0668884816021346,0.000393278065093208,0.00024011083135551202,0.0021723214108088557,0.0067443873877050696,1,0.00992194854852806,0.0006720715822260029,0.002358230246038776,0.001292212651620226,0.007853785145478534
BSG,0.8378283270351546,0.20961249580089147,0.7058510776783051,0.666476498077509,0.34733716130587067,0.3404854069466902,0.2638961154323301,0.40641439149487757,1,0.2808361023640996,0.40296398999774735,0.17722759127188892,0.1648200363081698,0.1625856874838274
RPS13,0.4094317540766277,0.9278634704951878,0.6206684475555411,0.4047760916481037,0.4601728478999536,0.5923380658921359,0.6849903814076854,0.1181078282516842,0.9012386391536349,0.49199801529573073,0.890455959520034,0.8828522118186332,1,0.58558174040157
SYNCRIP,0.5378165397218149,0.7532974193242539,0.5693964491178815,0.7395180915051113,0.7798365837516121,0.6925825897347108,0.5881497669168787,0.6589112127395098,0.543489143878423,0.8142092464710222,0.74254256318857,0.9806678465032558,0.8197844825800257,1
PPIB,0.7152377463619826,0.3509668955652944,0.668840768751015,0.6841043308415642,0.1188670874965068,0.2865769495636562,0.1339815065143107,0.47616430102641066,1,0.8521841392054239,0.46602019480322854,0.9076317919242208,0.7257311027575801,0.19579513192491071
PDIA6,0.8407172931157783,0.8637763764457673,0.5598111744826226,0.4119370529069636,1,0.9008419028163579,0.5569205854807528,0.5168588760943004,0.7018687486037579,0.9792817175716014,0.6898590538387918,0.9207271275172707,0.9437558696445429,0.6526655653483475
RPS6,0.2677901973004683,0.6087530198845954,0.6110841235633291,0.704402034100293,0.6087311301927927,0.7003013048372122,1,0.5811837945429094,0.6128725488823841,0.5243493340245154,0.9492068866118902,0.6591280749685319,0.6368104880184157,0.6958661509222
HSPE1,0.3625101391541453,0.3574230452331114,0.43798209996061405,0.5921422926479476,0.2665669943344717,0.2505206476066751,0.2970691755262432,1,0.39623668207136115,0.5419122130478152,0.6115265814917864,0.47635998221586395,0.32578502810896,0.6613973749710305
VIM,0.4427461618234967,0.5015059280846232,0.4349832115861232,0.6037210437257207,0.5795203279197247,0.6174276899007536,0.46291039431954184,0.8808606311067713,0.5642391228621557,0.7512861527039569,0.7678688042999993,0.7767357639985903,0.5634167130434886,1
RPS3,0.39673671275070277,0.7898439776180575,0.5952374334600339,1,0.46828868432287274,0.6254026467973919,0.5732456490977481,0.2119019587826244,0.8862278763946957,0.6055306197464454,0.45705976667831133,0.5844298984896686,0.7528664425787953,0.6943063098355587
TMEM126A,1,0.6776790283043092,0.407361006550804,0.39860936523409307,0.8336731547225827,0.5361916332618654,0.6699893557782144,0.5840893411488264,0.8330227425538229,0.5864601474841719,0.7138325105542391,0.6625665079404609,0.36316858082684766,0.9233694713768317
C1QBP,1,0.04074780497529722,0.1561888765871072,0.1752508017354234,0.1262633248778983,0.1237017984391171,0.005981332291117179,0.24581810919539632,0.36418832601172224,0.31143868255009527,0.07428401764489168,0.1867308332294307,0.10335059209426961,0.1277103453549783
RPL34,0.24630181069851978,0.4660128589853349,0.3591301962949824,0.3445580588275594,0.39754584666499854,0.4766606849218455,0.9073575498905749,0.1747769175431018,0.6065677541583753,0.2177221775530995,1,0.2855550487479827,0.5238116305195339,0.2445126120050537
