Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
P17066;P48741,P17066,Heat shock 70 kDa protein 6,HSPA6,71.027,1960340769.6460218,2006911926.0009146,1546663023.198655,1287999383.5739079,1728840973.8896387,1984888458.5227308,2552500000.0,1852760828.3126233,1739694827.5356717,1764059080.6988273,4770770128.3743305,1919453098.6563077,1801807116.3689058,2287025803.258103
Q9HBF4,Q9HBF4,Zinc finger FYVE domain-containing protein 1,ZFYVE1,87.175,2553681019.9928226,3875894028.741666,678651479.7149184,1596494630.954475,2365240.2473438783,3834081192.504962,1949399999.999995,0.0,201423.75889180475,186349275.76865235,9263245.871510133,0.0,2058748371.034265,20541328.87373031
P10809,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,61.054,1775331577.9797256,662495119.7773649,724993099.6054521,721256449.6740633,550692983.4452568,437451724.6650578,221305000.0,1768192389.74954,1020899675.7021198,1227838087.2582467,481746186.40521336,1156707848.356024,795933334.9722345,1519955568.4955075
P05141,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,32.852,1054147418.4607662,818651598.2382542,1123514987.5711021,1124747687.0413675,826679265.3291944,903534946.3307257,732580000.0,460098524.8707182,1064714505.4343772,840441875.8465902,832858984.9030354,1046650047.6891377,765608749.7782155,1223816810.723556
P11021,P11021,78 kDa glucose-regulated protein,HSPA5,72.332,1078989378.4707904,824921135.6591713,555274365.3352371,502499780.62065005,934362347.3791412,819722527.1998941,784490000.0,930127907.7410895,683709344.9905026,740023917.3390832,540117323.0018528,756895363.8996996,833114941.379716,668087126.9142324
P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5A1,59.75,993955487.9002194,549751438.2329882,520271774.3471969,522490030.93083495,549509371.6468349,503458217.01471967,549495000.0,737737832.9213959,555659161.5186306,563136490.2523102,646298986.1727171,654198973.076026,534755702.2583151,704490214.7607827
P38646,P38646,"Stress-70 protein, mitochondrial",HSPA9,73.68,1032268163.2481629,348814263.7819314,437523792.8364294,491537775.1603492,376708446.97884053,367900896.0956903,322385000.0,728587702.7519041,434782277.4787152,548669676.2595849,464485765.0029942,528800662.8543083,368775067.1190353,649798736.6581227
P06576;H0YH81;F8W079;F8W0P7,P06576;H0YH81;F8W079,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,56.559,920543286.4720392,546019713.5671409,369592753.59036523,333404501.2435061,488876458.0595646,455769143.0908369,344595000.0,696727761.4586776,527333680.24433583,617038295.4958856,394810313.45278454,551865929.233755,487649805.56966347,586943703.2689996
P06733;A0A2R8Y6G6,P06733;A0A2R8Y6G6,Alpha-enolase,ENO1,47.168,776399172.3083096,584392882.3175577,822672616.9019182,1001355631.0910457,550692983.4452568,527341868.0436018,256110000.0,1077416897.268013,556932026.1654683,1332023223.9567058,474063391.11640245,856118157.5811629,723264673.3766906,911068691.7969514
P68104,P68104,Elongation factor 1-alpha 1,EEF1A1,50.14,655157405.6613337,1021694617.3158584,1143001615.8163674,2066223212.23046,982653708.7547575,944135347.8151972,753245000.0,1496436646.626965,1262602529.196077,2067345249.7191029,1159720535.6457722,1220954861.6076658,1452190986.8740752,1446830956.2486942
P08238;Q58FF7,P08238,Heat shock protein HSP 90-beta,HSP90AB1,83.263,603224814.0144552,831094680.162639,701002945.9850681,578502615.6119423,761958092.6111585,887149161.0569422,611640000.0,824729650.6693,594331618.0776639,1431421495.1343293,962386515.912795,978871301.7782685,1027476025.4302707,737187859.0730519
P30101,P30101,Protein disulfide-isomerase A3,PDIA3,56.782,602510780.8438537,550249401.4922572,428138583.4669073,471813416.9340967,585254447.9591783,565342688.4637052,551885000.0,700187947.201953,544457952.626459,520982332.7884367,474994639.0301977,498097842.9257758,547366315.9842229,451615405.1293093
P07195,P07195,L-lactate dehydrogenase B chain,LDHB,36.638,626958424.0283272,470149311.4380336,715768321.1653235,833009683.9504384,579803435.7848243,422046799.83917266,163670000.0,725071304.6048573,589590904.4152195,1156976898.993341,330153253.4380271,740065131.721124,537212144.7236742,851629614.1659939
P21796;C9JI87,P21796;C9JI87,Voltage-dependent anion-selective channel protein 1,VDAC1,30.772,561230072.0927386,189771998.24021795,133586824.132765,105394787.66924782,163491977.82094586,46802688.99151838,40368500.0,174421467.66296294,374007233.47437143,23941762.824328814,46118112.83089013,18393060.21498496,51841444.86384928,126140679.84521806
P40926,P40926,"Malate dehydrogenase, mitochondrial",MDH2,35.503,555064875.2391127,35029615.44450573,71547610.76867853,162707826.3608606,5084412.4119239915,1009112.8393268799,3131850.0,200159878.18545994,311478464.84549576,58642643.21133348,6286570.1180581795,10837913.761281269,11204267.57434983,15296534.08995398
P62854,P62854,40S ribosomal protein S26,RPS26,13.015,527388096.9696804,758230056.2611674,555686902.0108205,206797568.2783662,427661335.425503,370795337.0493039,203345000.0,62283967.96122024,669639947.76079,772547694.465166,350175083.58462536,592117507.8335518,840050778.9289653,866125714.5549879
P04406;E7EUT5,P04406;E7EUT5,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,36.053,487551440.3770205,168491568.35314345,680301626.417252,1201282306.2005184,385166472.9113478,473731526.1397694,414740000.0,1289881046.0568228,681440817.3310274,949973289.864933,555385908.5884542,550528812.3421929,294431558.3880192,498599271.1928887
