Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
P17066;P48741,P17066,Heat shock 70 kDa protein 6,HSPA6,71.027,41.09065657946551,42.06683348805117,32.41956710510573,26.997724663225426,36.23819482744082,41.60520010632107,53.50289222318453,38.835675969656556,36.46570219740358,36.976400732599146,100.0,40.233611073404894,37.767636416866786,47.93829385440168
Q9HBF4,Q9HBF4,Zinc finger FYVE domain-containing protein 1,ZFYVE1,87.175,65.8862445943057,100.0,17.509546821517382,41.190358124233526,0.06102437862863265,98.92120796062429,50.295492744234814,0.0,0.005196833489206574,4.807904302511384,0.23899636581440556,0.0,53.11673528139909,0.5299765349982798
P10809,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,61.054,100.0,37.31669779294212,40.83705312280158,40.62657695160426,31.01916229485024,24.64056461851846,12.465558701537798,99.59786733257403,57.50473254488456,69.16105715054591,27.135561175193324,65.15446819643252,44.83293965164428,85.61530630943722
P05141,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,32.852,86.1360466063155,66.89331205985344,91.80417998236578,91.90490579847355,67.54926538723043,73.82926418509724,59.86026614284514,37.59537545481946,86.99949993372677,68.67382997866295,68.05422001113263,85.52342462678935,62.55909733136983,100.0
P11021,P11021,78 kDa glucose-regulated protein,HSPA5,72.332,100.0,76.45312846622271,51.46244962320258,46.5713370907157,86.59606535732321,75.97132497834733,72.70599837709497,86.20362037848078,63.36571597762132,68.58491215065438,50.057705272997225,70.1485463158514,77.21252479430866,61.91785945669699
P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5A1,59.75,100.0,55.30946253884724,52.34356876949258,52.5667434096693,55.28510867299509,50.65198825737159,55.283662768524536,74.22242161768268,55.90382751369363,56.656107552860746,65.0229305074874,65.81773339347961,53.80076962883048,70.87744102596118
P38646,P38646,"Stress-70 protein, mitochondrial",HSPA9,73.68,100.0,33.79105122106479,42.3847027752658,47.61725612205874,36.493273782025746,35.64005063742772,31.230741340077238,70.58124319743723,42.11912107321198,53.15185489525571,44.99661827614936,51.22706305214043,35.72473512683349,62.948636778010126
P06576;H0YH81;F8W079;F8W0P7,P06576;H0YH81;F8W079,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,56.559,100.0,59.314941686202374,40.14941600484871,36.218231792365906,53.107384002893795,49.5108866458156,37.43387248204833,75.68658331417207,57.28504981719327,67.02979692141045,42.88883741316347,59.95002487593695,52.97413090030454,63.76057616132835
P06733;A0A2R8Y6G6,P06733;A0A2R8Y6G6,Alpha-enolase,ENO1,47.168,58.28720988828229,43.87257457731473,61.76113164590418,75.17553846520565,41.34259625064583,39.58954007402065,19.227142244505206,80.88574417400937,41.810984684721234,100.0,35.589724157227664,64.27201434507339,54.29820294185791,68.39735789971208
P68104,P68104,Elongation factor 1-alpha 1,EEF1A1,50.14,31.690759235805054,49.42060923083261,55.28837604515602,99.94572568424188,47.53215307836338,45.66897318885078,36.435375276691005,72.384457643458,61.07361745057489,100.0,56.09709049822943,59.05906919870114,70.24424135598005,69.98497016622066
P08238;Q58FF7,P08238,Heat shock protein HSP 90-beta,HSP90AB1,83.263,42.14166240097202,58.06079362282082,48.972503792063264,40.4145541741815,53.2308684200424,61.976794680849004,42.72955255171725,57.61612868555566,41.520378176372844,100.0,67.23292329926073,68.38456073949119,71.78011710197553,51.500404428667025
P30101,P30101,Protein disulfide-isomerase A3,PDIA3,56.782,86.04986464728069,78.58595734061537,61.14623726069661,67.38382441736218,83.58533595128783,80.74156242233131,78.81955155118109,100.0,77.75882958314087,74.40606980887824,67.83816272878465,71.13773450631977,78.17419853791738,64.49916867807084
P07195,P07195,L-lactate dehydrogenase B chain,LDHB,36.638,54.18936407233622,40.6360154508789,61.86539435559146,71.99881732083165,50.11365709110509,36.47841198958993,14.14634986596582,62.669471208606254,50.95960904044057,100.0,28.53585527293465,63.965419911584895,46.43240026582122,73.60817790804442
P21796;C9JI87,P21796;C9JI87,Voltage-dependent anion-selective channel protein 1,VDAC1,30.772,100.0,33.81358335496672,23.802506454196358,18.779248103411003,29.13100811068623,8.339305272256441,7.192861182486572,31.078425112284652,66.64062602343408,4.265944398712233,8.217327460540904,3.2772763131526674,9.237111024813887,22.475752123342094
P40926,P40926,"Malate dehydrogenase, mitochondrial",MDH2,35.503,100.0,6.310904726121529,12.889954663021507,29.313298970821883,0.9160032707408681,0.18180088208467,0.5642313429850612,36.060627705767615,56.11568642517975,10.565007051846184,1.1325829463357826,1.9525490162951626,2.0185509972186977,2.755810135412457
P62854,P62854,40S ribosomal protein S26,RPS26,13.015,60.89047907331218,87.54272544035287,64.15776516880466,23.87616079319594,49.37635821668611,42.81079880416864,23.47753872017042,7.191100196490703,77.31440557735299,89.19579242166918,40.43005278564487,68.36392198998266,96.98947448530382,100.0
P04406;E7EUT5,P04406;E7EUT5,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,36.053,37.79817075903777,13.062566417905247,52.74142359847366,93.13124724739917,29.860619635338075,36.72676078061389,32.15335253338776,100.0,52.82974111560114,73.64813156755883,43.057141609009115,42.68058779723635,22.826256676001165,38.65467073239899
P11142,P11142,Heat shock cognate 71 kDa protein,HSPA8,70.897,74.14658817374774,58.1873932392923,55.02900280270522,44.40042809908179,69.5392403296774,66.5907044600359,46.45804828272281,68.14524196968794,63.163017863777085,100.0,66.32331224151591,85.08664606706192,68.68379126031928,78.26868548034025
P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2;A0A8I5KWR0,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2,Prohibitin,PHB ,29.804,96.42507728132065,69.50143826236712,60.26406366830939,50.492591828897545,64.88174914203262,43.56366183623423,59.93615277434454,100.0,86.90425499148498,31.72777132797947,59.754860891221995,44.62894053370282,53.9352315822675,58.42145173189526
P14625;Q58FF3,P14625,Endoplasmin,HSP90B1,92.468,91.90129059216183,89.60500073563631,64.73424773364165,53.11364448570755,100.0,94.61990660276433,65.80452074623528,58.716210592803634,82.64602874435305,90.8387186215906,65.80428591336805,98.8921221609933,84.70494557825108,84.16876611431616
P62873,P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,37.377,88.26595970877162,92.1166124193,58.89894175191591,44.34193176419581,96.23696503904705,100.0,51.79222097673036,55.263590673356944,77.7451281401668,70.43151440599496,55.977181355138526,85.08325551500661,77.85516484963321,56.8182260706148
Q3SYG4,Q3SYG4,Protein PTHB1,BBS9,99.279,27.373202596667657,18.260901597848285,26.139788264575692,100.0,15.293296436417982,21.171383010567993,8.434161068843366,72.41251949448858,14.668822376838763,66.44557774595133,19.478421995378994,24.084500795384255,21.284153071493396,8.713598572789433
P62241,P62241,40S ribosomal protein S8,RPS8,24.205,37.712004661750754,86.65957025539267,73.39851871869396,85.54923064014301,78.45856638330683,74.47007216895142,100.0,55.47034212482907,66.09825208378524,41.28563690029431,48.727943241320276,72.96101828705021,75.54501029383603,64.68989222508363
O15460;E7ENX0;E7EPI9;C9JX45;A8MXE0;E7ERI1;C9JCP0,O15460,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,60.901,28.52373898589266,26.451702321603378,34.03904154075183,14.861809148832009,38.8438308565701,39.82493105206201,48.57185135110312,22.763758268657238,23.236114662123907,23.002660276111136,100.0,29.005643826230283,29.404227907951906,22.61587110340566
P21397,P21397,Amine oxidase [flavin-containing] A,MAOA,59.681,100.0,19.651964025509937,25.481077112777967,24.70885088246277,46.7040664628438,18.148737192578825,39.35867464672166,15.560118233521584,18.285218638207514,17.440804523347534,12.115010501410191,22.52417003109434,11.407285992014787,33.99483915682014
