,Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
0,P10809,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,61.054,1597550149.99999,596152961.5661899,,649029941.0302153,495546673.77012044,393645377.0239863,199143551.7347539,1591125878.9683275,918666941.0278964,1104882572.2501252,433504198.25764,1040875304.4038037,716228694.6542484,1367747454.3693655
1,P17066;P48741,P17066,Heat shock 70 kDa protein 6,HSPA6,71.027,1764032550.0,1805940078.0039213,,1159019325.7137513,1555715107.7696102,1786122037.1321816,2296893047.1654925,1667225647.2524364,1565482058.200375,1587406478.8428164,4293025950.044203,1727239364.02113,1621374432.0944352,2058003395.17791
2,P68104,P68104,Elongation factor 1-alpha 1,EEF1A1,50.14,589550045.0,919382277.312127,,1859311941.2591941,884250919.259623,849589780.9911464,677815162.903887,1346583713.6772268,1136165708.381601,1860321618.0883124,1043586301.6571265,1098688631.745173,1306768807.4074278,1301945529.4148588
3,P04406;E7EUT5,P04406;E7EUT5,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,36.053,438728115.0,151618848.91531622,,1080986082.9754748,346595962.24537945,426292124.8241075,373208000.93297416,1160712558.8084111,613201439.9147533,854843112.4323975,499769650.11969084,495398942.73577255,264947227.94418892,448669617.7569943
4,Q3SYG4,Q3SYG4,Protein PTHB1,BBS9,99.279,450945775.0,300829849.71012855,,1647398668.1225853,251941561.8055887,348777081.7392285,138944257.11543924,1192922881.7062123,241653984.46530965,1094623562.8131595,320887264.5231704,396767745.3271337,350634854.2209546,143547706.83368173
5,P61604,P61604,"10 kDa heat shock protein, mitochondrial",HSPE1,10.932,226832270.0,223649139.55155566,,370519237.66254824,166798083.42203137,156757455.9737452,185884112.34200814,625726691.4775784,247935868.11456585,339088936.141702,382648504.5874494,298071155.6242507,203852387.77154946,413853991.19257814
6,P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5A1,59.75,894420940.0,494699414.7489053,,470167960.53215206,494481588.67302406,453041989.5002725,494468656.2006669,663860881.1236404,500015539.5439571,506744089.7417081,581578706.2606155,588687589.7046541,481205349.44141996,633942674.2723473
7,P06733;A0A2R8Y6G6,P06733;A0A2R8Y6G6,Alpha-enolase,ENO1,47.168,698650680.0,525871870.01300704,,901080034.0031489,495546673.77012044,474533935.4313857,230463184.4503641,969524536.8201832,501160939.72311646,1198634625.5706651,426590756.8936182,770386618.4917946,650837061.5237383,819834414.7614415
8,P11021,P11021,78 kDa glucose-regulated protein,HSPA5,72.332,970939549.9999903,742313661.4908572,,452179530.77757365,840795447.2980915,737635640.8737959,705931293.465566,836985043.7865213,615242797.5673884,665918037.4034522,486030058.3179606,681099979.9306624,749686940.7814915,601184985.9784802
9,P38646,P38646,"Stress-70 protein, mitochondrial",HSPA9,73.68,928896990.0,313884057.681829,,442315258.83839434,338984921.71369624,331059357.6055419,290101416.262663,655627043.565574,391243247.86352164,493725980.25119793,417972232.7689412,475846646.75673455,331845989.2786289,584727992.276969
10,P08238;Q58FF7,P08238,Heat shock protein HSP 90-beta,HSP90AB1,83.263,542817975.0,747868988.2083427,,520571453.69877464,685655727.7767094,798310182.1078907,550390465.5703435,742141351.7780768,534815342.32054985,1288079169.3387957,866013279.9553072,880847281.9292226,924584736.1175412,663365981.5708944
11,P06576;H0YH81;F8W079;F8W0P7,P06576;H0YH81;F8W079,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,56.559,828360225.0,491341384.4104447,,300017426.3662637,439920445.617985,410128492.01877296,310087310.3185085,626957551.8360881,474526567.55706424,555248176.5952388,355274070.095565,496602160.9498671,438816629.9175571,528167252.1512758
