Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
P17066;P48741,P17066,Heat shock 70 kDa protein 6,HSPA6,71.027,1839450000.0,1672549999.99999,1349694999.999995,1065695000.0,1351099999.999995,1649249999.99999,2552500000.0,1483199999.999995,1537599999.999995,1245599999.999995,3688549999.99999,1320674999.999995,1371650000.0,1580049999.99999
Q9HBF4,Q9HBF4,Zinc finger FYVE domain-containing protein 1,ZFYVE1,87.175,2396200000.0,3230149999.99999,592225000.0,1320944999.999995,1848450.0,3185749999.99999,1949399999.999995,0.0,178025.0,131581000.0,7161935.0,0.0,1567249999.99999,14191500.0
P10809,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,61.054,1665849999.99999,552120000.0,632665000.0,596770000.0,430370000.0,363480000.0,221305000.0,1415499999.999995,902305000.0,866975000.0,372465000.0,795869999.999995,605915000.0,1050099999.99999
P05141,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,32.852,989139999.999995,682260000.0,980435000.0,930620000.0,646055000.0,750750000.0,732580000.0,368325000.0,941030000.0,593435000.0,643930000.0,720145000.0,582830000.0,845505000.0
P11021,P11021,78 kDa glucose-regulated protein,HSPA5,72.332,1012449999.99999,687485000.0,484560000.0,415770000.0,730210000.0,681110000.0,784490000.0,744600000.0,604285000.0,522530000.0,417595000.0,520780000.0,634220000.0,461565000.0
P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5A1,59.75,932660000.0,458160000.0,454015000.0,432310000.0,429445000.0,418325000.0,549495000.0,590585000.0,491110000.0,397630000.0,499690000.0,450120000.0,407090000.0,486715000.0
P38646,P38646,"Stress-70 protein, mitochondrial",HSPA9,73.68,968610000.0,290700000.0,381805000.0,406700000.0,294400000.0,305690000.0,322385000.0,583260000.0,384275000.0,387415000.0,359120000.0,363840000.0,280735000.0,448930000.0
P06576;H0YH81;F8W079;F8W0P7,P06576;H0YH81;F8W079,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,56.559,863775000.0,455050000.0,322525000.0,275860000.0,382060000.0,378700000.0,344595000.0,557755000.0,466075000.0,435690000.0,305250000.0,379710000.0,371230000.0,405505000.0
P06733;A0A2R8Y6G6,P06733;A0A2R8Y6G6,Alpha-enolase,ENO1,47.168,728520000.0,487030000.0,717905000.0,828525000.0,430370000.0,438170000.0,256110000.0,862509999.999995,492235000.0,940539999.999995,366525000.0,589050000.0,550595000.0,629435000.0
P68104,P68104,Elongation factor 1-alpha 1,EEF1A1,50.14,614755000.0,851475000.0,997440000.0,1709599999.99999,767950000.0,784485000.0,753245000.0,1197950000.0,1115930000.0,1459749999.999995,896645000.0,840075000.0,1105500000.0,999580000.0
