,Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
0,P10809,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,61.054,1597550149.99999,552120000.0,,522173750.0,344296000.0,351848640.0,181027490.0,1125322499.999996,661389565.0,668437725.0,268174800.0,537212249.9999967,439288375.0,690965799.9999934
1,P17066;P48741,P17066,Heat shock 70 kDa protein 6,HSPA6,71.027,1764032550.0,1672549999.99999,,932483125.0,1080879999.999996,1596473999.99999,2087945000.0,1179143999.999996,1127060799.9999967,960357599.9999962,2655755999.999993,891455624.9999965,994446250.0,1039672899.9999938
2,P68104,P68104,Elongation factor 1-alpha 1,EEF1A1,50.14,589550045.0,851475000.0,,1495899999.999991,614360000.0,759381480.0,616154410.0,952370250.0,817976690.0,1125467249.999996,645584400.0,567050625.0,801487500.0,657723640.0
3,P04406;E7EUT5,P04406;E7EUT5,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,36.053,438728115.0,140420000.0,,869701874.9999956,240808000.0,381029000.0,339257320.0,820913025.0,441471240.0,517167525.0,309168000.0,255683250.0,162501500.0,226661260.0
4,Q3SYG4,Q3SYG4,Protein PTHB1,BBS9,99.279,450945775.0,278610000.0,,1325406249.9999955,175044000.0,311744400.0,126304517.0,843693750.0,173977550.0,662231175.0,198507600.0,204778125.0,215056750.0,72518180.0
5,P61604,P61604,"10 kDa heat shock protein, mitochondrial",HSPE1,10.932,226832270.0,207130000.0,,298099375.0,115888000.0,140113160.0,168974260.0,442544700.0,178500160.0,205143825.0,236714400.0,153839250.0,125029875.0,209072920.0
6,P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5A1,59.75,894420940.0,458160000.0,,378271250.0,343556000.0,404938600.0,449486909.99999994,469515075.0,359983630.0,306572730.0,359776800.0,303831000.0,295140250.0,320258470.0
7,P06733;A0A2R8Y6G6,P06733;A0A2R8Y6G6,Alpha-enolase,ENO1,47.168,698650680.0,487030000.0,,724959375.0,344296000.0,424148560.0,209497980.0,685695449.9999961,360808255.0,725156339.9999962,263898000.0,397608750.00000006,399181375.0,414168230.0
8,P11021,P11021,78 kDa glucose-regulated protein,HSPA5,72.332,970939549.9999903,687485000.0,,363798750.0,584168000.0,659314480.0,641712820.0,591957000.0,442940905.0,402870630.0,300668400.0,351526500.0,459809500.0,303709770.0
9,P38646,P38646,"Stress-70 protein, mitochondrial",HSPA9,73.68,928896990.0,290700000.0,,355862500.0,235520000.0,295907920.0,263710930.0,463691700.0,281673575.0,298696965.0,258566400.0,245592000.0,203532875.0,295395940.0
10,P08238;Q58FF7,P08238,Heat shock protein HSP 90-beta,HSP90AB1,83.263,542817975.0,692630000.0,,418823125.0,476380000.0,713546680.0,500321519.99999994,524878875.0,385037570.0,779268974.9999962,535734000.0,454619250.00000006,567080500.0,335122690.0
11,P06576;H0YH81;F8W079;F8W0P7,P06576;H0YH81;F8W079,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,56.559,828360225.0,455050000.0,,241377500.0,305648000.0,366581600.0,281878710.0,443415225.0,341632975.0,335916990.0,219780000.0,256304250.0,269141750.0,266822290.0
12,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2;A0A8I5KWR0,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2,Prohibitin,PHB ,29.804,456891575.0,304995000.0,,192486875.0,213596000.0,184500800.0,258160800.0,335116350.0,296458185.0,90951015.0,175154400.0,109140750.0,156745000.0,139844740.0
13,P62979;P0CG47;P0CG48,P62979;P0CG47;P0CG48,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin,RPS27A;UBB;UBC,17.965,169090880.0,292895000.0,,515252500.0,342272000.0,423379000.0,539319670.0,420332400.0,159017020.0,230787285.0,219704400.0,236671875.0,199712125.0,141772680.0
